Compound Type	Compound Name	Polarity	Mass-to-Charge Ratio (m/z)	Retention Time (min)	MS Level	Internal Standards	Products
Product	Product 13	+	171.055	3.33	2		
Endogenous Analyte	Glutamic Acid	+	318.1084	1	1	Glutamic Acid-13C5,15N	Product 14
Internal Standard	Glutamic Acid-13C5,15N	+	324.1223	1	1		Product 14
Product	Product 14	+	171.055	1	2		
Endogenous Analyte	Glutamine	+	317.1244	1.94	1	Glutamine-13C5,15N2	Product 15
Internal Standard	Glutamine-13C5,15N2	+	324.1353	1.94	1		Product 15
Product	Product 15	+	171.055	1.94	2		
Endogenous Analyte	Glycine	+	246.0873	1.99	1	Glycine-13C2,15N	Product 16; Product 17
Internal Standard	Glycine-13C2,15N	+	249.0911	1.99	1		
Product	Product 16	+	171.055	1.99	2		
Product	Product 17	+	116.0499	1.99	2		
Endogenous Analyte	Histidine	+	326.1248	2.25	1	Histidine-13C6,15N3	Product 18
Product	Product 18	+	110.071	2.25	2		
Internal Standard	Histidine-13C6,15N3	+	335.136	2.25	1		Product 19
Product	Product 19	+	165.089	2.25	2		
Endogenous Analyte	Homocysteine-AccQTag	+	306.0907	3.3	1	Cysteine-13C3,15N-AccQTag	
Endogenous Analyte	Isoleucine	+	302.1499	4.11	1	Isoleucine-13C6,15N	Product 20
Internal Standard	Isoleucine-13C6,15N	+	309.1671	4.11	1		Product 20
Product	Product 20	+	171.055	4.11	2		
Endogenous Analyte	Leucine	+	302.1499	4.2	1	Leucine-13C6,15N	Product 21
Internal Standard	Leucine-13C6,15N	+	309.1671	4.2	1		Product 21
Product	Product 21	+	171.055	4.2	2		
Endogenous Analyte	Lysine	+	487.2088	4.22	1	Lysine-13C6,15N2	Product 22
Product	Product 22	+	244.1081	4.22	2		
Internal Standard	Lysine-13C6,15N2	+	501.2432	4.22	1		Product 23
Product	Product 23	+	248.1157	4.22	2		
Endogenous Analyte	Methionine	+	320.1063	3.59	1	Methionine-13C5,15N	Product 24
Internal Standard	Methionine-13C5,15N	+	326.1201	3.59	1		Product 24
Product	Product 24	+	171.055	3.59	2		
Endogenous Analyte	Ornithine	+	473.1932	4.01	1	Ornithine-13C5	Product 25
Product	Product 25	+	237.1008	4.01	2		
Internal Standard	Ornithine-13C5	+	478.21	4.01	1		Product 26
Product	Product 26	+	239.6092	4.01	2		
Endogenous Analyte	Phenylalanine	+	336.1343	4.4	1	Phenylalanine-13C9,15N	Product 27
Internal Standard	Phenylalanine-13C9,15N	+	346.1615	4.4	1		Product 27
Product	Product 27	+	171.055	4.4	2		
Endogenous Analyte	Proline	+	286.1186	2.67	1	Proline-13C5,15N	Product 28; Product 29
Internal Standard	Proline-13C5,15N	+	292.1324	2.67	1		Product 28
Product	Product 28	+	171.055	2.67	2		
Product	Product 29	+	116.0709	2.67	2		
Endogenous Analyte	Sarcosine	+	260.103	2.2	1	Sarcosine-13C3,15N	Product 30
Internal Standard	Sarcosine-13C3,15N	+	264.1101	2.2	1		Product 30
Product	Product 30	+	171.055	2.2	2		
Endogenous Analyte	Serine	+	276.0979	1.84	1	Serine-13C3,15N	Product 31
Internal Standard	Serine-13C3,15N	+	280.105	1.84	1		Product 31
Product	Product 31	+	171.055	1.84	2		
Endogenous Analyte	Taurine	+	296.07	2.3	1	Histidine-13C6,15N3	Product 32
Product	Product 32	+	171.055	2.3	2		
Endogenous Analyte	Threonine	+	290.1135	2.31	1	Threonine-13C4,15N	Product 33
Internal Standard	Threonine-13C4,15N	+	295.124	2.31	1		Product 33
Product	Product 33	+	171.055	2.31	2		
Endogenous Analyte	Tryptophan	+	375.1452	4.45	1	Tryptophan-13C11,15N2	Product 34; Product 35
Internal Standard	Tryptophan-13C11,15N2	+	388.1761	4.45	1		Product 34
Product	Product 34	+	171.055	4.45	2		
Product	Product 35	+	188.0705	4.45	2		
Endogenous Analyte	Tyrosine	+	352.1292	3.19	1	Tyrosine-13C9,15N	Product 36
Internal Standard	Tyrosine-13C9,15N	+	362.1564	3.19	1		Product 36
Product	Product 36	+	171.055	3.19	2		
Endogenous Analyte	Valine	+	288.1343	3.48	1	Valine-13C5,15N	Product 37
Internal Standard	Valine-13C5,15N	+	294.1481	3.48	1		Product 37
Product	Product 37	+	171.055	3.48	2		
